pop,mut,tour,mean_deviation,std_deviation,mean_completion
50,0.05,5,2.054863662059136,0.3175439221825825,1246873.6666666667
100,0.05,5,2.106428279891654,0.11862644665104752,1247503.6666666667
50,0.4,5,2.149316946152352,0.03862320281300844,1248027.6666666667
100,0.1,3,2.175699478133328,0.11916751368596748,1248350.0
100,0.1,5,2.2000903608541065,0.22006335151689604,1248648.0
100,0.4,5,2.200390472386465,0.08256253434178262,1248651.6666666667
100,0.2,5,2.2043464880402825,0.0968787700787495,1248700.0
100,0.05,3,2.2063927030336363,0.03984715669283563,1248725.0
50,0.1,5,2.2178787898629966,0.2200922290394702,1248865.3333333333
50,0.2,5,2.2447524134423777,0.19947271735770863,1249193.6666666667
20,0.1,5,2.246744062702575,0.2008780754181181,1249218.0
100,0.2,3,2.2477535287659633,0.23145725177699708,1249230.3333333333
100,0.4,3,2.2498815923590514,0.09296733967413906,1249256.3333333333
20,0.05,5,2.264996300443292,0.17605827863978285,1249441.0
100,0.05,2,2.280602100125938,0.21640271882624657,1249631.6666666667
50,0.2,3,2.2911878523582216,0.1485308097687092,1249761.0
20,0.2,5,2.293479613150778,0.18508954673533506,1249789.0
20,0.4,3,2.325837092912348,0.08281348669931717,1250184.3333333333
20,0.4,2,2.3328760724894853,0.11337394139618348,1250270.3333333333
100,0.2,2,2.3494094896357844,0.09188730536914558,1250472.3333333333
20,0.2,3,2.3517830990280753,0.08208807942763745,1250501.3333333333
50,0.05,2,2.3733638464913143,0.23120690909768404,1250765.0
20,0.4,5,2.3765832247475243,0.1366087294019689,1250804.3333333333
50,0.4,2,2.3777563880103805,0.11428038256088012,1250818.6666666667
50,0.2,2,2.38168512079762,0.13631805860566332,1250866.6666666667
100,0.4,2,2.3824490410618053,0.11621486656455153,1250876.0
100,0.1,2,2.390633901035221,0.1163393128980029,1250976.0
50,0.05,3,2.405202951787901,0.16022889347241212,1251154.0
50,0.1,2,2.4202085284058295,0.04722389949511793,1251337.3333333333
50,0.1,3,2.4235370381283516,0.09430621092509163,1251378.0
20,0.1,3,2.4632336089994173,0.02333890970625723,1251863.0
50,0.4,3,2.4983466582853704,0.16770138943239335,1252292.0
20,0.05,3,2.5573594986936965,0.20735671967421207,1253013.0
20,0.05,2,2.5952826832371887,0.09519285382598647,1253476.3333333333
20,0.1,2,2.6256757966051385,0.2211188712821328,1253847.6666666667
20,0.2,2,2.6819603503556593,0.033885452090971734,1254535.3333333333



| 🧩 Taille (Jobs) | 🧬 Population (`pop`) | 🎲 Mutation (`mut`) | 🏆 Tournament (`tour`) | 📉 Déviation (%) | 📊 Stabilité  |
| ---------------- | --------------------- | ------------------- | ---------------------- | ---------------- | ------------- |
| 50               | 20                    | 0.05                | 5                      | **\~0.19**       | ✅ Très stable |
| 100              | 100                   | 0.20                | 5                      | **\~0.24**       | ⚠️ Moyenne    |
| 200              | 100                   | 0.20                | 5                      | **\~0.34**       | ⚠️ Moyenne    |
