jobs,pop,mut,tour,mean_deviation,std_deviation,mean_completion
100,100,0.2,5,0.24188171012528717,0.21509902887016566,371325.0
100,100,0.2,3,0.26905740821228,0.052873274424051216,371425.6666666667
100,20,0.05,5,0.31126072742684835,0.1843766623223681,371582.0
100,100,0.4,5,0.3606629070618121,0.10993195520481125,371765.0
100,50,0.1,5,0.3725410267554646,0.023727078375676496,371809.0
100,50,0.4,5,0.3874786621277852,0.11278281270218608,371864.3333333333
100,50,0.05,5,0.38873846270135437,0.12264530266969426,371869.0
100,100,0.05,5,0.40727552828387265,0.0604887031261992,371937.6666666667
100,20,0.05,2,0.4168140183408966,0.31955996776944673,371973.0
100,20,0.2,3,0.4323815540000018,0.12855928858814292,372030.6666666667
100,50,0.2,3,0.44129014377024117,0.17060046184113087,372063.6666666667
100,20,0.2,5,0.4424599585885554,0.06874746804137062,372068.0
100,20,0.1,2,0.44875896145640154,0.11146336853037925,372091.3333333333
100,50,0.1,3,0.45361819224016836,0.2183567718633191,372109.3333333333
100,100,0.1,5,0.4537981637506783,0.133046213874803,372110.0
100,50,0.2,5,0.46360661107346707,0.058759182322250386,372146.3333333333
100,20,0.05,3,0.46954567092029337,0.05476696000778972,372168.3333333333
100,20,0.4,3,0.4750348019908448,0.17451047742181036,372188.6666666667
100,100,0.4,3,0.4820536909007304,0.1391538276137837,372214.6666666667
100,20,0.1,3,0.48376342025057434,0.22049461005448248,372221.0
100,100,0.1,3,0.4882627080133215,0.020817072089404493,372237.6666666667
100,50,0.4,3,0.49312193879708843,0.09195218958874808,372255.6666666667
100,50,0.1,2,0.49384182483912803,0.22687355949475477,372258.3333333333
100,20,0.4,2,0.523987052849534,0.17932174272408788,372370.0
100,50,0.05,3,0.5354152437669116,0.0021986744599496906,372412.3333333333
100,20,0.4,5,0.5375749018930304,0.05179334935220825,372420.3333333333
100,100,0.05,3,0.5457636056212302,0.06325608174759541,372450.6666666667
100,20,0.1,5,0.5594414404199815,0.09849716798551693,372501.3333333333
100,100,0.2,2,0.5674501726376714,0.27481331432271716,372531.0
100,50,0.05,2,0.5707796455821043,0.138883065474849,372543.3333333333
100,20,0.2,2,0.5741091185265373,0.23196074460888855,372555.6666666667
100,50,0.2,2,0.6145127226360066,0.07090443559351366,372705.3333333333
100,100,0.05,2,0.6245911272245603,0.06662331654172689,372742.6666666667
100,50,0.4,2,0.6361093038971931,0.07287112910577763,372785.3333333333
100,100,0.4,2,0.6687741330547374,0.030015476730378975,372906.3333333333
100,100,0.1,2,0.7228555719629582,0.11548408767579868,373106.6666666667
