jobs,pop,mut,tour,mean_deviation,std_deviation,mean_completion
50,20,0.05,5,0.19070346927540582,0.05528254834131625,126790.33333333333
50,50,0.4,5,0.2462814140504205,0.18460161744339418,126860.66666666667
50,100,0.4,5,0.24707162179603684,0.17425887483590055,126861.66666666667
50,50,0.1,5,0.28552839874936453,0.1574365406695175,126910.33333333333
50,50,0.2,5,0.2913232555505509,0.16810698637022325,126917.66666666667
50,50,0.05,2,0.30870782595411,0.23801699180062255,126939.66666666667
50,100,0.4,3,0.33978933061501865,0.15261241909383882,126979.0
50,50,0.4,3,0.340579538360635,0.11124542285297681,126980.0
50,20,0.2,5,0.34110634352437924,0.23544089160203915,126980.66666666667
50,100,0.05,5,0.34558418741620506,0.05466349301367117,126986.33333333333
50,100,0.2,5,0.35796410876419404,0.21576578722201364,127002.0
50,50,0.05,5,0.3816703411326838,0.06182334113764202,127032.0
50,50,0.2,3,0.38930901600697493,0.12592930069260713,127041.66666666667
50,100,0.1,5,0.40300595026432456,0.11774095409683205,127059.0
50,50,0.4,2,0.41143483288423194,0.2214758391939431,127069.66666666667
50,20,0.4,5,0.4184150013038428,0.11279644694866608,127078.5
50,100,0.4,2,0.4211807284134999,0.1009519389511067,127082.0
50,20,0.1,5,0.423814754232221,0.06375920524583828,127085.33333333333
50,100,0.1,3,0.4354044678345937,0.1683476355648578,127100.0
50,50,0.1,2,0.45094522016504807,0.09698760627647081,127119.66666666667
50,100,0.05,3,0.4517354279106644,0.1388661309454828,127120.66666666667
50,100,0.05,2,0.45226223307440866,0.16415095898131393,127121.33333333333
50,50,0.2,2,0.46411534925865344,0.20250348695227532,127136.33333333333
50,20,0.1,3,0.4693834008960956,0.09577174438746167,127143.0
50,20,0.05,3,0.4707004138054561,0.10985403545546533,127144.66666666667
50,20,0.2,3,0.48268523128063706,0.07130006728290245,127159.83333333333
50,100,0.2,2,0.4980942823201553,0.12155936405655958,127179.33333333333
50,100,0.2,3,0.5044159442850858,0.21530998158401204,127187.33333333333
50,20,0.4,3,0.5111327101228246,0.04854067224632249,127195.83333333333
50,20,0.1,2,0.55867687615074,0.19364443484011076,127256.0
50,50,0.1,3,0.5702665897531127,0.10991086239073589,127270.66666666667
50,20,0.4,2,0.5754029400996189,0.11040694468631458,127277.16666666667
50,50,0.05,3,0.5810660956098692,0.09501351379952151,127284.33333333333
50,100,0.1,2,0.5926558092122419,0.08106853680662503,127299.0
50,20,0.2,2,0.62742495001936,0.10004541871332472,127343.0
50,20,0.05,2,0.6326930016568023,0.052869169934423824,127349.66666666667
